name,institution,main panel,sub-panel,role,name and institution
Dr Naomi Appleton,University of Edinburgh,Main Panel D,Sub-panel 31: Theology and Religious Studies,Additional assessment phase members,Dr Naomi Appleton University of Edinburgh
Ms Rosie Dawson,BBC,Main Panel D,Sub-panel 31: Theology and Religious Studies,Deputy Chair,Ms Rosie Dawson BBC
Professor Bettina Schmidt,University of Wales Trinity St David,Main Panel D,Sub-panel 31: Theology and Religious Studies,Deputy Chair,Professor Bettina Schmidt University of Wales Trinity St David
Professor Charlotte Methuen,University of Glasgow,Main Panel D,Sub-panel 31: Theology and Religious Studies,Additional assessment phase members,Professor Charlotte Methuen University of Glasgow
Professor David Horrell,University of Exeter,Main Panel D,Sub-panel 31: Theology and Religious Studies,Deputy Chair,Professor David Horrell University of Exeter
Professor Elaine Graham*,University of Chester,Main Panel D,Sub-panel 31: Theology and Religious Studies,Deputy Chair,Professor Elaine Graham* University of Chester
Professor Gavin Flood,University of Oxford,Main Panel D,Sub-panel 31: Theology and Religious Studies,Additional assessment phase members,Professor Gavin Flood University of Oxford
Professor Gordon Lynch,University of Kent,Main Panel D,Sub-panel 31: Theology and Religious Studies,Chair,Professor Gordon Lynch University of Kent
Professor John Wolffe,The Open University,Main Panel D,Sub-panel 31: Theology and Religious Studies,Additional assessment phase members,Professor John Wolffe The Open University
Professor Karen Kilby,Durham University,Main Panel D,Sub-panel 31: Theology and Religious Studies,Deputy Chair,Professor Karen Kilby Durham University
Professor Paul Joyce,King's College London,Main Panel D,Sub-panel 31: Theology and Religious Studies,Additional assessment phase members,Professor Paul Joyce King's College London
Professor Sophie Gilliat-Ray,Cardiff University,Main Panel D,Sub-panel 31: Theology and Religious Studies,Deputy Chair,Professor Sophie Gilliat-Ray Cardiff University
Professor Tom Greggs,University of Aberdeen,Main Panel D,Sub-panel 31: Theology and Religious Studies,Additional assessment phase members,Professor Tom Greggs University of Aberdeen
Dr Marcel Vellinga,Oxford Brookes University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Dr Marcel Vellinga Oxford Brookes University
Dr Sarah Smith,Glasgow School of Art,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Dr Sarah Smith Glasgow School of Art
Miss Jennifer Hulin,Cardiff University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Secretariat,Miss Jennifer Hulin Cardiff University
Mr Alastair Evans,Creative Scotland,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Members,Mr Alastair Evans Creative Scotland
Professor Anita Taylor,Bath Spa University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Anita Taylor Bath Spa University
Professor Anne Boddington,Kingston University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Chair,Professor Anne Boddington Kingston University
Professor Dana Arnold,University of East Anglia,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Dana Arnold University of East Anglia
Professor Darren Newbury,University of Brighton,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Darren Newbury University of Brighton
Professor Evelyn Welch,King’s College London,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Members,Professor Evelyn Welch King’s College London
Professor Griselda Pollock*,University of Leeds ,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Griselda Pollock* University of Leeds 
Professor Jake Kaner,Nottingham Trent University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Jake Kaner Nottingham Trent University
Professor Jane Pavitt,Kingston University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Jane Pavitt Kingston University
Professor Juan Cruz,Royal College of Art,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Deputy Chair,Professor Juan Cruz Royal College of Art
Professor Judith Mottram,Lancaster University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Judith Mottram Lancaster University
Professor Karen Fleming,Ulster University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Members,Professor Karen Fleming Ulster University
Professor Lynda Nead,"Birkbeck, University of London",Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,"Professor Lynda Nead Birkbeck, University of London"
Professor Michael Hatt,University of Warwick,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Michael Hatt University of Warwick
Professor Oriana Baddeley*,University of the Arts London,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Members,Professor Oriana Baddeley* University of the Arts London
Professor Paul Chamberlain,Sheffield Hallam University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Members,Professor Paul Chamberlain Sheffield Hallam University
Professor Saeema Ahmed-Kristensen,Imperial College London,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Saeema Ahmed-Kristensen Imperial College London
Professor Stephen Dixon,Manchester Metropolitan University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Members,Professor Stephen Dixon Manchester Metropolitan University
Professor Stephen Partridge*,University of Dundee,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Members,Professor Stephen Partridge* University of Dundee
Professor Sue Walker,University of Reading,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Sue Walker University of Reading
Professor Susan Collins,University College London,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Additional assessment phase members,Professor Susan Collins University College London
Professor Tracy Bhamra,Loughborough University,Main Panel D,"Sub-panel 32: Art and Design, History, Practice and Theory",Members,Professor Tracy Bhamra Loughborough University
Dr Barley Norton,"Goldsmiths, University of London",Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,"Dr Barley Norton Goldsmiths, University of London"
Dr Kate Dorney,University of Manchester,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,Dr Kate Dorney University of Manchester
Dr Royona Mitra,Brunel University London,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,Dr Royona Mitra Brunel University London
Miss Victoria Macfarlane,Keele University,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Secretariat,Miss Victoria Macfarlane Keele University
Mr Paul Hughes,BBC Symphony Orchestra,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,Mr Paul Hughes BBC Symphony Orchestra
Professor Dee Heddon,University of Glasgow,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Additional assessment phase members,Professor Dee Heddon University of Glasgow
Professor Laura Tunbridge,University of Oxford,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,Professor Laura Tunbridge University of Oxford
Professor Maria Delgado,Royal Central School of Speech and Drama,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Chair,Professor Maria Delgado Royal Central School of Speech and Drama
Professor Matthew Wright*,Canterbury Christ Church University,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Additional assessment phase members,Professor Matthew Wright* Canterbury Christ Church University
Professor Miguel Mera*,"City, University of London",Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Additional assessment phase members,"Professor Miguel Mera* City, University of London"
Professor Nadine Holdsworth,University of Warwick,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Additional assessment phase members,Professor Nadine Holdsworth University of Warwick
Professor Nick Fells*,University of Glasgow,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,Professor Nick Fells* University of Glasgow
Professor Nicola Dibben*,University of Sheffield,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,Professor Nicola Dibben* University of Sheffield
Professor Paul Allain,University of Kent,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,Professor Paul Allain University of Kent
Professor Robert Adlington,University of Huddersfield,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Deputy Chair,Professor Robert Adlington University of Huddersfield
Professor Sarah Street,University of Bristol,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Members,Professor Sarah Street University of Bristol
Professor Sarah Whatley,Coventry University,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Additional assessment phase members,Professor Sarah Whatley Coventry University
Professor Stephen Rose,"Royal Holloway, University of London",Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Additional assessment phase members,"Professor Stephen Rose Royal Holloway, University of London"
Professor Tim Bergfelder,University of Southampton,Main Panel D,"Sub-panel 33: Music, Drama, Dance, Performing Arts, Film and Screen Studies",Additional assessment phase members,Professor Tim Bergfelder University of Southampton
Ms Alison Preston,Ofcom ,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Members,Ms Alison Preston Ofcom 
Ms Kate Clift,Loughborough University,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Secretariat,Ms Kate Clift Loughborough University
Professor David Bawden,"City, University of London",Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Members,"Professor David Bawden City, University of London"
Professor Elizabeth Shepherd,University College London,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Additional assessment phase members,Professor Elizabeth Shepherd University College London
Professor Hazel Hall,Edinburgh Napier University,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Members,Professor Hazel Hall Edinburgh Napier University
Professor Justin Lewis,Cardiff University,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Chair,Professor Justin Lewis Cardiff University
Professor Karen Boyle,University of Strathclyde,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Deputy Chair,Professor Karen Boyle University of Strathclyde
Professor Karen Ross,University of Newcastle,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Additional assessment phase members,Professor Karen Ross University of Newcastle
Professor Kate O'Riordan*,University of Sussex,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Additional assessment phase members,Professor Kate O'Riordan* University of Sussex
Professor Natalie Fenton*,"Goldsmiths, University of London",Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Members,"Professor Natalie Fenton* Goldsmiths, University of London"
Professor Peter Lunt,University of Leicester,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Additional assessment phase members,Professor Peter Lunt University of Leicester
Professor Rachel McLean,Liverpool John Moores University,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Additional assessment phase members,Professor Rachel McLean Liverpool John Moores University
Professor Robin Mansell,London School of Economics and Political Science,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Members,Professor Robin Mansell London School of Economics and Political Science
Professor Toby Miller,Loughborough University,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Additional assessment phase members,Professor Toby Miller Loughborough University
Professor Yvonne Tasker,University of East Anglia ,Main Panel D,"Sub-panel 34: Communication, Cultural and Media Studies, Library and Information",Additional assessment phase members,Professor Yvonne Tasker University of East Anglia 
